,S.No,Page,Label,English,Gernam,French,
0,1,IDP_SigninPage,back,Back,Zurück,Retour,
1,2,,IDP_Log_in_,Log in,Anmelden,S'identifier,
2,3,,IDP_Next_button,Next,Nächste,Suivant,
3,4,,IDP_Email,Email,E-Mail,E-mail,
4,5,,IDP_emailRequired,Email is required.,E-Mail ist erforderlich.,Le champ E-mail est obligatoire.,Une adresse e-mail est requise.
5,6,,IDP_msg_email_incorrect,Oops! Your email is incorrect.,Hoppla! Ihre E-Mail ist nicht korrekt.,Oups ! cet e-mail est invalide.,
6,7,,IDP_Could_not_have_account,Couldn't find your Monotype account,Ich konnte Ihr Monotype-Konto nicht finden.,Nous n'avons pas pu trouver votre compte Monotype,
7,8,,IDP_Footer_navigation,2020 Monotype Imaging Inc.,2020 Monotype Imaging Inc.,2020 Monotype Imaging Inc.,
8,9,,IDPSignInTitle,Sign in – Monotype accounts,Anmelden - Monotype -Konten,Se connecter - Comptes Monotype,
9,10,IDP_Signup Page,IDP_Sign_up_for,Sign up for a Monotype account,Melden Sie sich für ein Monotype-Konto an,Créer un compte Monotype.,
10,11,,,Already have an account?,Haben Sie bereits ein Konto?,Vous avez déjà un compte?,
11,12,,IDP_LogIn,Log in.,Anmelden.,S'identifier.,
12,13,,IDP_First_Name,First Name,Vorname,Prénom,
13,14,,,Last Name,Nachname,Nom de famille,
14,15,,IDP_Email,Email,E-mail,E-mail,
15,16,,,Country,Land,Pays,
16,17,,IDP_Company,Company,Unternehmen,Entreprise,
17,18,,,Password,Kennwort,Mot de passe,
18,19,,IDP_Make_sure,Make sure to include at least:,Folgendes sollte enthalten sein:,Veillez à inclure au moins :,
19,20,,,8 character,8 Zeichen,8 caractères,
20,21,,,1 uppercase,1 Großbuchstaben,1 majuscule,
21,22,,,1 lowercase,1 Kleinbuchstaben,1 minuscule,
22,23,,,1 number,1 Zahl,1 numéro,
23,24,,,1 special character,1 Sonderzeichen,1 caractère spécial,
24,25,,,Confirm Password,Passwort bestätigen,Confirmer le mot de passe,
25,26,,IDP_receive_updates,"I consent to receive updates from Monotype
via email.","Ich bin damit einverstanden, von Monotype per E-Mail auf dem Laufenden gehalten zu werden.",J'accepte de recevoir les mises à jour Monotype par e-mail,
26,27,,,Sign Up,Anmelden,S'inscrire,
27,28,,,First name is required.,Vorname ist erforderlich.,Le prénom est requis.,
28,29,,,Last name is required.,Nachname ist erforderlich.,Le nom de famille est obligatoire.,
29,30,,IDP_emailRequired,Email field is required.,E-Mail ist erforderlich.,Une adresse e-mail est requise.,
30,31,,,Country is required.,Land ist erforderlich.,Le pays est requis.,
31,32,,IDP_passwordNotMatch,Passwords do not match.,Passwörter stimmen nicht überein.,Les mots de passes que vous avez saisis ne correspondent pas.,
32,33,,,Company name is required.,"Firmenname ist erforderlich.
",Le nom de l'entreprise est obligatoire.,
33,34,,,,,,
34,35,,IDP_title_signup,Create your Monotype Account,Monotype-Konto erstellen,Créer un compte Monotype.,
35,36,,,Symbols < > and / not allowed,Symbole < > und / nicht erlaubt,Symboles <> et / non autorisés,
36,37,IDP_userprofile,IDP_welcome_back,"Welcome back,","Willkommen zurück,","Content de vous voir de retour,",
37,38,,IDP_your_details,Your details,Ihre Daten,Mes informations,
38,39,,,Log out,Abmelden,Se déconnecter,
39,40,,,Your available products,Ihre verfügbaren Produkte,Vos produits disponibles,
40,41,,,Go To,Auswählen,Aller à,
41,42,,,,,,
42,43,,,Monotype Account,Monotype Account,Compte Monotype,
43,44,IDP_Password,,Back,Zurück,Retour,
44,45,,IDP_LogIn,Log in,Anmelden,S'identifier,
45,46,,IDP_enterPassword,Enter Your Password,Geben Sie Ihr Passwort ein,Saisir votre mot de passe,
46,47,,IDP_forgotPassword,Forgot your password?,Haben Sie Ihr Passwort vergessen?,Mot de passe oublié ?,
47,48,,,Incorrect Password,Falsches Passwort,Mot de passe incorrect,
48,49,,,Password is required.,Passwort wird benötigt.,Mot de passe requis.,
49,50,IDP_Loading page,IDP_loggingIn,Logging in,Anmelden,Connexion,
50,51,,IDP_title_loading,Welcome!,Herzlich willkommen!,Bienvenue !,
51,52,IDP_MonotypeIDPFileNotFound,,404,404,404,
52,53,,,"Sorry, this page doesn’t exist. Return to","Tut mir leid, diese Seite existiert nicht. Zurück zu","Désolé, cette page n'existe pas. Retournez à",
53,54,,,Page Not Found - Monotype Account,Seite nicht gefunden - Monotype Account,Page introuvable - Compte Monotype,
54,55,IDP_migrated_user_instruction,IDP_revamped,We’ve revamped your login experience.,Wir haben die Anmeldung neu gestaltet.,Nous avons modernisé le système de connexion.,
55,56,,IDP_securityMsg,"For extra security, we need you to reset your password. Please click on the link sent to your email.","Für zusätzliche Sicherheit müssen wir Ihr Passwort zurücksetzen. Bitte klicken Sie auf den Link, der per E-Mail gesendet wurde.","Pour des raisons de sécurité, nous avons besoin que vous réinitialisiez votre mot de passe. Veuillez cliquer sur le lien envoyé par e-mail et à vérifier dans vos couriers indésirables.",
56,57,,,Didn't receive instructions?,Sie haben keine Anweisungen erhalten?,Instructions non-reçues ?,
57,58,,IDP_Send_them_again,Send them again.,Erneut senden.,Me renvoyer l'e-mail d'activation.,
58,59,IDP_forgotconfirm,,Reset instructions sent.,Anweisungen gesendet.,Les instructions ont été envoyées !,
59,60,,,Password reset instructions have been emailed to you.,Anweisungen zum Zurücksetzen des Passworts wurden Ihnen per E-Mail zugesandt.,Les instructions de réinitialisation du mot de passe vous ont été envoyées par e-mail.,
60,61,,,Didn't receive instructions?,Sie haben keine Anweisungen erhalten?,Instructions non-reçues?,
61,62,,,Send them again.,Senden Sie sie erneut.,Envoyez-les à nouveau.,
62,63,,,Forgot Password - Monotype Accounts,Passwort vergessen - Monotype Accounts,Mot de passe oublié - Comptes Monotype,
63,64,IDP_ResetPassword,IDP_change_your_password,Change your password.,Passwort ändern.,Modifiez votre mot de passe.,
64,65,,IDP_almost_done,You’re almost done...,Sie sind fast fertig...,Nous-y sommes presque...,
65,66,,IDP_Reset_passwordMsg,"The next time you login, you’ll use the new password you enter below.","Wenn Sie sich das nächste Mal anmelden, verwenden Sie das neue Passwort, das Sie unten eingeben.","À la prochaine connexion, veillez à utiliser le nouveau mot de passe que vous aurez choisi ci-dessous.",
66,67,,,Enter a new password for,Geben Sie ein neues Passwort ein für,Entrez un nouveau mot de passe pour,
67,68,,IDP_Make_sure,Make sure to include at least:,Folgendes sollte enthalten sein:,Veillez à inclure au moins :,
68,69,,,8 character,8 Zeichen,8 caractères,
69,70,,,1 uppercase,1 Großbuchstaben,1 majuscule,
70,71,,,1 lowercase,1 Kleinbuchstaben,1 minuscule,
71,72,,,1 number,1 Zahl,1 numéro,
72,73,,,1 special character,1 Sonderzeichen,1 caractère spécial,
73,74,,IDP_Confirm_Password,Confirm Password,Passwort bestätigen,Confirmer le nouveau mot de passe,
74,75,,,New Password,Neues Passwort,Nouveau mot de passe,
75,76,,IDP_ChangePassword,Change Password,Passwort ändern,Changer de mot de passe,
76,77,,IDP_title_resetPassword,Change Password - Monotype Account,Passwort ändern - Monotype-Konto,Changer le mot de passe - compte Monotype,
77,78,IDP_change_password_intimation,IDP_passwordChanged,Your password has been changed.,"
Ihr Passwort wurde geändert.",Votre mot de passe a été modifie.,
78,79,,IDP_re_directedMsg,If you dont get re-directed within,Wenn Sie nicht innerhalb von,Si vous n'êtes pas redirigé sur la page d'acceuil dans les,
79,80,,IDP_seconds,seconds,Sekunden umgeleitet werden,secondes,
80,81,,IDP_title_intimation,Change Password Intimation,Passwort-Hinweis ändern,Modifier l'indice du mot de passe,
81,82,Footer,IDP_footer_trademarks,Trademarks,Marken,Marques déposées,
82,83,,,Terms of Use,Nutzungsbedingungen,Conditions d'utilisation,
83,84,,IDP_footer_termsAndConditionsOfBusiness,Terms and Conditions of Business,Allgemeine Geschäftsbedingungen,Conditions générales,
84,85,,,Privacy Policy,Datenschutzerklärung,Politique de confidentialité,
85,86,,IDP_Contact,Contact,Kontakt,Contactez-nous !,
86,87,Server errors,,Couldn't find your Monotype account,Ihr Monotype-Konto konnte nicht gefunden werden,Impossible de trouver votre compte Monotype,
87,88,,,Incorrect Password,Falsches Passwort,Mot de passe incorrect,
88,89,,Not used,you have already reset your password. Just in case if you forgot your password then go back to login page and click forgot password,"Sie haben Ihr Passwort bereits zurückgesetzt. Falls Sie Ihr Passwort vergessen haben, kehren Sie zur Anmeldeseite zurück und klicken Sie auf Passwort vergessen","vous avez déjà réinitialisé votre mot de passe. Si vous avez oublié votre mot de passe, revenez à la page de connexion et cliquez sur ""mot de passe oublié"".",
89,90,,,Passwords do not match.,Passwörter stimmen nicht überein.,Les mots de passes que vous avez saisis ne correspondent pas.,
90,91,,Not used,User with this email already registered,Benutzer mit dieser E-Mail ist bereits registriert,Un utilisateur avec cet e-mail à déjà été enregistré.,
91,92,,,Username cannot be left blank,Der Benutzername darf nicht leer bleiben,Le nom d'utilisateur ne peut pas être laissé vide.,
92,93,,,You cannot use last three passwords,Sie können die letzten drei Passwörter nicht verwenden,Mot de passe déjà utilisé.,
93,94,IDP_ResetPassword,IDP_reset_password_Intermediate_screen,Reset your password?,Kennwort zurücksetzen?,Réinitialiser votre mot de passe ?,
94,95,,IDP_reset_link_expire,Your password reset link has expired.,,,
95,96,,,Monotype.,,,
96,97,,,"To get a new link, click “Send new link” below. Alternatively, you can request a new link when you",,,
97,98,,, log in.,,,
98,99,IDP_SomethingWrongPage,,Something went wrong.,,,
